captured_at,event_type,experiment_id,detail
2026-09-09T14:14:53.324331-07:00,EXPERIMENT_RESUME,2,142
2026-09-09T14:15:36.066687-07:00,EXPERIMENT_RESUME,2,142
2026-09-09T14:22:02.302540-07:00,EXPERIMENT_RESUME,2,148
2026-09-09T14:23:55.135019-07:00,EXPERIMENT_RESUME,2,149
2026-09-09T14:25:17.204258-07:00,EXPERIMENT_RESUME,2,150
2026-09-09T14:27:22.843858-07:00,EXPERIMENT_RESUME,2,151
2026-09-09T14:40:30.559677-07:00,EXPERIMENT_RESUME,2,163
2026-09-09T14:52:47.319000-07:00,EXPERIMENT_RESUME,2,167
2026-09-09T15:06:49.905531-07:00,EXPERIMENT_RESUME,2,180
2026-09-10T10:44:35.590165-07:00,EXPERIMENT_RESUME,2,1194
2026-09-10T10:45:32.651763-07:00,SLEEP_TEST_ARMED,2,0
2026-09-10T10:46:02.651287-07:00,SLEEP_TEST_SLEEP,2,0
2026-09-10T10:46:36.133387-07:00,EXPERIMENT_RESUME,2,1194
2026-09-10T10:46:36.136591-07:00,SLEEP_TEST_WAKE,2,1
2026-09-10T10:47:06.132655-07:00,SLEEP_TEST_SLEEP,2,1
2026-09-10T10:47:39.571251-07:00,EXPERIMENT_RESUME,2,1194
2026-09-10T10:47:39.573876-07:00,SLEEP_TEST_WAKE,2,2
2026-09-10T10:48:09.569396-07:00,SLEEP_TEST_SLEEP,2,2
2026-09-10T10:48:43.001519-07:00,EXPERIMENT_RESUME,2,1194
2026-09-10T10:48:43.007170-07:00,SLEEP_TEST_WAKE,2,3
2026-09-10T10:49:12.999421-07:00,SLEEP_TEST_SLEEP,2,3
2026-09-10T11:27:05.705203-07:00,EXPERIMENT_RESUME,2,1194
2026-09-10T11:27:05.708162-07:00,SLEEP_TEST_RESUMED,2,0
2026-09-10T11:27:35.699156-07:00,SLEEP_TEST_SLEEP,2,0
2026-09-10T11:28:09.157593-07:00,EXPERIMENT_RESUME,2,1194
2026-09-10T11:28:09.162396-07:00,SLEEP_TEST_WAKE,2,1
2026-09-10T11:28:39.158403-07:00,SLEEP_TEST_SLEEP,2,1
2026-09-10T11:29:12.611341-07:00,EXPERIMENT_RESUME,2,1194
2026-09-10T11:29:12.614160-07:00,SLEEP_TEST_WAKE,2,2
2026-09-10T11:29:25.650166-07:00,SLEEP_TEST_STOPPED,2,2
2026-09-10T11:30:20.697699-07:00,SLEEP_TEST_ARMED_INA_OFF,2,0
2026-09-10T11:30:50.699708-07:00,SLEEP_TEST_SLEEP_INA_OFF,2,0
2026-09-10T11:31:24.151421-07:00,EXPERIMENT_RESUME,2,1194
2026-09-10T11:31:24.172347-07:00,SLEEP_TEST_WAKE,2,1
2026-09-10T11:39:10.995960-07:00,EXPERIMENT_RESUME,2,1194
2026-09-10T11:39:11.001573-07:00,SLEEP_TEST_RESUMED,2,0
2026-09-10T11:39:38.022978-07:00,SLEEP_TEST_STOPPED,2,0
2026-09-11T09:47:38.932974-07:00,EXPERIMENT_RESUME,2,2299
2026-09-11T10:00:13.188815-07:00,EXPERIMENT_RESUME,2,2302
2026-09-11T10:01:22.808046-07:00,EXPERIMENT_RESUME,2,2302
2026-09-11T11:04:01.113631-07:00,EXPERIMENT_RESUME,2,2302
2026-09-11T11:08:38.587841-07:00,EXPERIMENT_RESUME,2,2302
2026-09-11T11:09:22.180444-07:00,EXPERIMENT_RESUME,2,2302
2026-09-16T09:34:23.890640-07:00,EXPERIMENT_RESUME,2,2354
2026-09-16T09:40:02.633220-07:00,EXPERIMENT_RESUME,2,2359
