captured_at,experiment_id,interval,elapsed_seconds,voltage_V,current_mA,power_mW,temperature_C,interval_charge_mAh,interval_energy_mWh,average_current_mA,average_power_mW,running_charge_mAh,running_energy_mWh
2026-09-09T13:29:10.223403-07:00,2,126,60.0,13.090039,171.944,2251.0464,30.6797,3.038961111,39.783651556,182.337667,2387.019093,474.917871111,6200.348785778
2026-09-09T13:30:10.227654-07:00,2,127,60.0,13.084766,162.24,2122.8672,30.7031,2.700547778,35.337671111,162.032867,2120.260267,477.618418889,6235.686456889
2026-09-09T13:31:10.231822-07:00,2,128,60.0,13.078906,142.164,1859.3536,30.7422,2.503922222,32.751160889,150.235333,1965.069653,480.122341111,6268.437617778
2026-09-09T13:32:10.235937-07:00,2,129,60.0,13.081641,163.192,2134.8352,30.8125,2.643598889,34.57536,158.615933,2074.5216,482.76594,6303.012977778
2026-09-09T13:33:10.240034-07:00,2,130,60.0,13.079883,162.048,2119.872,30.7266,2.598018889,33.977116444,155.881133,2038.626987,485.363958889,6336.990094222
2026-09-09T13:34:10.244194-07:00,2,131,60.0,13.07793,155.588,2034.7904,30.7813,2.546664444,33.301560889,152.799867,1998.093653,487.910623333,6370.291655111
2026-09-09T13:35:10.250370-07:00,2,132,60.0,13.077344,162.62,2126.656,30.7266,2.493715556,32.602055111,149.622933,1956.123307,490.404338889,6402.893710222
2026-09-09T13:36:10.255812-07:00,2,133,60.0,13.07207,130.504,1705.9328,30.6563,2.481021111,32.439523556,148.861267,1946.371413,492.88536,6435.333233778
2026-09-09T13:37:10.256608-07:00,2,134,60.0,13.073828,153.224,2003.2384,30.4766,2.382288889,31.138247111,142.937333,1868.294827,495.267648889,6466.471480889
2026-09-09T13:38:10.261578-07:00,2,135,60.0,13.074805,153.188,2002.8928,30.4141,2.550795556,33.345479111,153.047733,2000.728747,497.818444444,6499.81696
2026-09-09T13:39:10.264930-07:00,2,136,60.0,13.072656,150.26,1964.2624,30.4219,2.456832222,32.115712,147.409933,1926.94272,500.275276667,6531.932672
2026-09-09T13:40:10.269105-07:00,2,137,60.0,13.073438,152.672,1995.968,30.4297,2.48777,32.518257778,149.2662,1951.095467,502.763046667,6564.450929778
2026-09-09T13:41:10.273199-07:00,2,138,60.0,13.074609,157.372,2057.5744,30.3984,2.570522222,33.603868444,154.231333,2016.232107,505.333568889,6598.054798222
2026-09-09T13:42:10.277391-07:00,2,139,60.0,13.080859,173.344,2267.4944,30.3516,2.844507778,37.199928889,170.670467,2231.995733,508.178076667,6635.254727111
2026-09-09T13:43:10.281581-07:00,2,140,60.0,13.08125,166.836,2182.3872,30.3203,2.862652222,37.444039111,171.759133,2246.642347,511.040728889,6672.698766222
2026-09-09T13:44:10.285545-07:00,2,141,60.0,13.081836,170.908,2235.776,30.3047,2.800844444,36.635648,168.050667,2198.13888,513.841573333,6709.334414222
2026-09-09T14:16:36.154761-07:00,2,143,60.003,13.017969,72.172,939.5072,30.7031,1.230673333,16.017464889,73.836708,960.999843,517.716353333,6759.934179556
2026-09-09T14:17:36.077908-07:00,2,144,60.0,13.014453,59.364,772.5696,30.7422,1.091685556,14.206748444,65.501133,852.404907,518.808038889,6774.140928
2026-09-09T14:18:36.081718-07:00,2,145,60.0,13.011914,59.616,775.7184,30.7734,0.965944444,12.567267556,57.956667,754.036053,519.773983333,6786.708195556
2026-09-09T14:19:36.085455-07:00,2,146,60.0,13.013672,70.448,916.7744,30.8594,1.073691111,13.968384,64.421467,838.10304,520.847674444,6800.676579556
2026-09-09T14:20:36.089305-07:00,2,147,60.0,13.014063,68.564,892.3008,30.8828,1.180438889,15.359544889,70.826333,921.572693,522.028113333,6816.036124444
2026-09-09T14:21:36.097317-07:00,2,148,60.0,13.012109,60.892,792.3072,30.9063,1.077915556,14.024135111,64.674933,841.448107,523.106028889,6830.060259556
2026-09-09T14:24:55.232115-07:00,2,150,60.003,13.010938,62.476,813.1712,30.8906,1.096434444,14.264263111,65.782778,855.812996,525.465544444,6860.754090667
