experiment_id,elapsed_seconds,voltage_V,current_mA,power_mW,temperature_C
2,5460.993,13.133008,338.08,4439.9616,28.3125
2,5461.995,13.132813,337.98,4438.6304,28.3125
2,5462.994,13.132813,336.892,4431.0912,28.3203
2,5463.996,13.133008,337.96,4438.4512,28.3203
2,5464.995,13.132813,336.96,4425.216,28.3203
2,5465.997,13.132813,337.368,4430.5792,28.3203
2,5466.996,13.132813,338.744,4448.6656,28.3281
2,5467.998,13.133008,337.7,4435.0464,28.3281
2,5468.997,13.133008,337.632,4434.1248,28.3281
2,5469.999,13.133203,333.576,4381.2224,28.3281
2,5470.998,13.132617,333.064,4374.2208,28.3359
2,5472.0,13.132617,332.848,4371.328,28.3359
2,5472.999,13.133398,338.784,4449.3568,28.3359
2,5474.001,13.133008,338.104,4440.2816,28.3359
2,5475.0,13.133008,337.416,4431.296,28.3359
2,5476.002,13.133203,339.188,4454.6048,28.3359
2,5477.001,13.133203,338.564,4446.4256,28.3359
2,5478.003,13.133203,338.132,4440.7424,28.3359
2,5479.002,13.133203,339.216,4455.0016,28.3359
2,5480.004,13.133203,338.896,4450.7904,28.3438
2,5481.003,13.133594,338.044,4439.7056,28.3438
2,5482.005,13.133203,339.344,4456.6784,28.3438
2,5483.004,13.133203,338.992,4451.9936,28.3438
2,5484.006,13.133398,337.904,4437.8112,28.3516
2,5485.005,13.133398,339.052,4452.8896,28.3516
2,5486.007,13.133398,337.712,4435.2512,28.3516
2,5487.006,13.133203,338.816,4449.7664,28.3516
2,5488.008,13.133203,334.228,4389.7984,28.3516
2,5489.007,13.132813,333.188,4376.0,28.3516
2,5490.009,13.133008,334.472,4392.6656,28.3516
2,5491.008,13.133594,339.344,4456.7936,28.3516
2,5492.01,13.133398,338.316,4443.1872,28.3516
2,5493.009,13.133203,337.936,4438.2208,28.3516
2,5494.011,13.133398,335.732,4409.3056,28.3516
2,5495.01,13.133398,338.136,4440.8704,28.3516
2,5496.012,13.133594,338.508,4445.7984,28.3516
2,5497.011,13.133594,339.612,4460.3264,28.3438
2,5498.013,13.133398,338.488,4445.4912,28.3438
2,5499.012,13.133398,338.7,4448.256,28.3438
2,5500.014,13.133789,339.8,4462.8224,28.3438
2,5501.013,13.108789,32.328,423.7952,28.3438
2,5502.015,13.103516,37.056,485.5296,28.3359
2,5503.014,13.099609,41.928,549.2224,28.3438
2,5504.016,13.118359,337.564,4428.2624,28.3438
2,5505.015,13.122266,336.82,4419.8784,28.3438
2,5506.017,13.123828,337.292,4426.5344,28.3438
2,5507.016,13.124805,331.196,4346.9184,28.3438
2,5508.018,13.125586,324.872,4264.6784,28.3281
2,5509.017,13.126758,334.116,4385.856,28.3359
2,5510.019,13.126953,331.38,4350.016,28.3359
2,5511.018,13.127344,331.76,4355.1232,28.3438
2,5512.02,13.127734,330.944,4344.576,28.3359
2,5513.019,13.127539,324.288,4257.1008,28.3438
2,5514.021,13.127734,327.536,4299.8016,28.3438
2,5515.02,13.127734,326.544,4286.8096,28.3516
2,5516.022,13.12793,323.852,4251.4944,28.3516
2,5517.021,13.127539,322.348,4231.6416,28.3516
2,5518.023,13.127734,322.684,4236.0704,28.3516
2,5519.022,13.127539,320.136,4202.5728,28.3516
2,5520.02,13.127734,319.688,4196.7616,28.3594
2,5521.019,13.127344,319.72,4197.0816,28.3594
2,5522.021,13.127148,317.508,4168.0,28.3594
2,5523.02,13.127148,316.116,4149.696,28.3594
2,5524.022,13.127148,316.22,4151.0656,28.3594
2,5525.021,13.126758,314.1,4123.1616,28.3594
2,5526.023,13.126563,312.144,4097.3568,28.3672
2,5527.022,13.126758,311.932,4094.6176,28.3672
2,5528.024,13.126563,309.796,4066.5216,28.3594
2,5529.023,13.125977,309.708,4065.2288,28.3672
